team,year,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
DEN,1984,3876,7976,2016,2568,1331,2303,3634,2266,2152,894,1382,424,73,0,9841,3775,7379,2027,2648,1181,2628,3809,2154,2178,670,1744,589,64,0,9641,110.38414,52,30
DET,1984,3840,7999,1783,2262,1403,2534,3937,2302,2076,691,1341,397,45,0,9508,3700,7457,1826,2404,1109,2563,3672,2107,2017,642,1486,508,78,0,9304,107.72487,46,36
GSW,1984,3498,7555,1944,2531,1327,2139,3466,1759,2136,803,1460,284,112,0,9052,3839,7165,1919,2530,1101,2521,3622,2336,2180,650,1583,469,57,0,9654,106.14018,22,60
HOU,1984,3748,7440,1581,2261,1325,2395,3720,2239,2033,683,1605,597,41,0,9118,3500,7274,1887,2425,1159,2222,3381,2117,1903,773,1495,415,90,0,8977,105.11274,48,34
IND,1984,3489,7324,1871,2516,1198,2623,3821,1945,2237,625,1622,366,30,0,8879,3628,7332,2068,2707,1098,2583,3681,2242,2072,777,1424,523,64,0,9388,107.0001,22,60
KCK,1984,3664,7275,2022,2595,1167,2327,3494,2342,2169,661,1593,300,63,0,9413,3805,7461,1957,2546,1166,2267,3433,2344,2205,761,1424,512,65,0,9632,106.86665,31,51
LAC,1984,3527,7119,1674,2208,1163,2434,3597,1934,1840,534,1587,497,56,0,8784,3737,7630,1604,2115,1248,2282,3530,2264,1887,770,1242,422,74,0,9152,103.16228,31,51
LAL,1984,3952,7254,1702,2232,1063,2550,3613,2575,1931,695,1537,481,90,0,9696,3665,7639,1679,2244,1248,2078,3326,2313,1905,756,1365,370,84,0,9093,105.48504,62,20
MIL,1984,3564,7256,1873,2473,1256,2353,3609,2164,2239,689,1382,486,89,0,9090,3214,6972,2020,2700,1236,2293,3529,1904,2104,642,1562,389,80,0,8528,102.47934,59,23
NJN,1984,3646,7445,1631,2237,1233,2325,3558,2163,2011,772,1355,415,52,0,8975,3514,7040,1849,2454,1084,2405,3489,1975,1933,680,1496,352,79,0,8956,103.24641,42,40
NYK,1984,3435,7101,1706,2350,1116,2102,3218,1999,2398,754,1458,267,51,0,8627,3329,6732,2282,3006,1219,2401,3620,2143,2038,667,1589,446,67,0,9007,102.15007,24,58
PHI,1984,3443,6992,2316,2883,1301,2364,3665,1999,1971,817,1575,534,59,0,9261,3494,7157,1857,2397,1183,2173,3356,2139,2209,753,1534,391,80,0,8925,103.33199,58,24
PHO,1984,3507,7144,1757,2280,1026,2425,3451,2335,2034,727,1583,349,87,0,8858,3605,7309,1756,2295,1125,2416,3541,2181,2019,771,1468,410,65,0,9031,104.95657,36,46
